Device_Index,Year,DOI,SP_Mw (kg/mol),SP_Mn (kg/mol),SP_PDI,Solvent_1,Solvent_1_BP (C),Solvent_2,Solvent_2_BP (C),Solvent_VF1 (%),SP_Concentration (g/L),Insulating_Matrix,IM_Concentration (mg/ml),IM_MW (kg/mol),IM_PDI,SP_Blend (wt%),Solution_Processing_Environment,Substrate_Type,Dielectric_Material_1,Dielectric_Material_1_Thickness (nm),Dielectric_Material_2,Dielectric_Material_2_Thickness (nm),Source/Drain_Electrode_Material,Chanel_Width (μm),Chanel_Length (μm),Capacitance_Per_Unit_Area (nF/cm2),Substrate_Treatment,Deposition_Type,Spin_Rate (rpm),Spin_Time (s),Blade_Speed (mm/s),Blade_Height (um),Blade_Angle (degrees),Channel_Orientation_WRT_Coating_Direction,Stage_Temperature (C),Anneal_Temperature (C),Anneal_Time (hr),Annealing Environment,Deposition_Environment,OFET_Configuration,OFET_Regime,Film_Thickness (nm),Average_OFET_Hole_Mobility (cm2/Vs),STDEV_OFET_Hole Mobility (cm2/Vs),Average_OFET_Electron_Mobility (cm2/Vs),STDEV_OFET_Electron_Mobility (cm2/Vs),Vth_Hole (V),Vth_Electron (V),Ion/Ioff,Mobility_Charaterization_Environment,SS (V/Decade),Transfer_Curve _Vds,Transfer_Curve_Vg_min (V),Transfer_Curve_Vg_max (V),Output Curve_Vg_min (V),Output_Curve _Vg_max (V),Output_Curve_Vd_min (V),Output_Curve_Vd_max (V)
1,2015,10.1039/C5TC02579F,299,90,3.32,C6H5CL,132,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1500,80,10,Untreated,Spin-Coating,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inert,Ambient,BGTC,Saturation,NaN,0.11,NaN,NaN,NaN,NaN,NaN,3.80E+02,Ambient,8.3,NaN,-60,30,NaN,NaN,NaN,NaN
2,2015,10.1039/C5TC02579F,299,90,3.32,C6H5CL,132,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1500,80,10,MTS,Spin-Coating,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inert,Ambient,BGTC,Saturation,NaN,0.29,NaN,NaN,NaN,NaN,NaN,1.60E+05,Ambient,2.6,NaN,-60,30,NaN,NaN,NaN,NaN
3,2015,10.1039/C5TC02579F,299,90,3.32,C6H5CL,132,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1500,80,10,PTS,Spin-Coating,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inert,Ambient,BGTC,Saturation,NaN,0.23,NaN,NaN,NaN,NaN,NaN,2.30E+05,Ambient,2.4,NaN,-60,30,NaN,NaN,NaN,NaN
4,2015,10.1039/C5TC02579F,299,90,3.32,C6H5CL,132,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1500,80,10,OTS-8,Spin-Coating,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inert,Ambient,BGTC,Saturation,NaN,0.73,NaN,NaN,NaN,NaN,NaN,6.10E+05,Ambient,2.2,NaN,-60,30,NaN,NaN,NaN,NaN
5,2015,10.1039/C5TC02579F,299,90,3.32,C6H5CL,132,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1500,80,10,OTS-18,Spin-Coating,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inert,Ambient,BGTC,Saturation,NaN,1.86,NaN,NaN,NaN,NaN,NaN,1.60E+04,Ambient,3,NaN,-60,30,NaN,NaN,NaN,NaN
6,2015,10.1039/C5TC02579F,299,90,3.32,C6H5CL,132,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1500,80,10,MTS/OTS-18,Spin-Coating,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inert,Ambient,BGTC,Saturation,NaN,0.21,NaN,NaN,NaN,NaN,NaN,7.40E+04,Ambient,3.3,NaN,-60,30,NaN,NaN,NaN,NaN
7,2015,10.1039/C5TC02579F,299,90,3.32,C6H5CL,132,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1500,80,10,OTS-18/MTS,Spin-Coating,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inert,Ambient,BGTC,Saturation,NaN,0.34,NaN,NaN,NaN,NaN,NaN,8.00E+03,Ambient,5.7,NaN,-60,30,NaN,NaN,NaN,NaN
8,2015,10.1039/C5TC02579F,299,90,3.32,C6H5CL,132,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1500,80,10,PTS/OTS-18,Spin-Coating,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inert,Ambient,BGTC,Saturation,NaN,0.24,NaN,NaN,NaN,NaN,NaN,1.40E+05,Ambient,2.3,NaN,-60,30,NaN,NaN,NaN,NaN
9,2015,10.1039/C5TC02579F,299,90,3.32,C6H5CL,132,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1500,80,10,OTS-18/PTS,Spin-Coating,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inert,Ambient,BGTC,Saturation,NaN,1.97,NaN,NaN,NaN,NaN,NaN,1.30E+06,Ambient,2.2,NaN,-60,30,NaN,NaN,NaN,NaN
10,2015,10.1039/C5TC02579F,299,90,3.32,C6H5CL,132,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1500,80,10,OTS-8/OTS-18,Spin-Coating,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inert,Ambient,BGTC,Saturation,NaN,0.69,NaN,NaN,NaN,NaN,NaN,6.70E+05,Ambient,2.1,NaN,-60,30,NaN,NaN,NaN,NaN
11,2015,10.1039/C5TC02579F,299,90,3.32,C6H5CL,132,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1500,80,10,OTS-18/OTS-8,Spin-Coating,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inert,Ambient,BGTC,Saturation,NaN,2.04,NaN,NaN,NaN,NaN,NaN,1.50E+06,Ambient,2.1,NaN,-60,30,NaN,NaN,NaN,NaN
12,2017,10.1021/acs.chemmater.7b03019,292.2,74.9,3.9,CHCL3,61.2,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au/Cr,2000,50,11.5,Untreated,Spin-Coating,1500,60,NaN,NaN,NaN,NaN,NaN,160,1,Ambient,Ambient,BGBC,Saturation,50.42,0.81,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-80,-80,10,-80,0,-80,0
13,2017,10.1021/acs.chemmater.7b03019,292.2,74.9,3.9,CHCL3,61.2,NaN,NaN,100,5,PDMS,200,NaN,NaN,0.83,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au/Cr,2000,50,11.5,Untreated,Spin-Coating,1500,60,NaN,NaN,NaN,NaN,NaN,160,1,Ambient,Ambient,BGBC,Saturation,NaN,1.53,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-80,-80,10,-80,0,-80,0
14,2019,10.1021/acs.chemmater.8b05224,292.2,74.9,3.9,CHCL3,61.2,NaN,NaN,100,5,PDMS,200,NaN,NaN,0.41,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au/Cr,2000,50,11.5,Untreated,Spin-Coating,1500,60,NaN,NaN,NaN,NaN,NaN,160,1,Ambient,Ambient,BGBC,Saturation,NaN,0.9,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-80,-80,10,-80,0,-80,0
15,2019,10.1021/acs.chemmater.8b05224,292.2,74.9,3.9,CHCL3,61.2,NaN,NaN,100,5,PDMS,200,NaN,NaN,0.49,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au/Cr,2000,50,11.5,Untreated,Spin-Coating,1500,60,NaN,NaN,NaN,NaN,NaN,160,1,Ambient,Ambient,BGBC,Saturation,NaN,1.1,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-80,-80,10,-80,0,-80,0
16,2019,10.1021/acs.chemmater.8b05224,292.2,74.9,3.9,CHCL3,61.2,NaN,NaN,100,5,PDMS,200,NaN,NaN,0.62,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au/Cr,2000,50,11.5,Untreated,Spin-Coating,1500,60,NaN,NaN,NaN,NaN,NaN,160,1,Ambient,Ambient,BGBC,Saturation,NaN,1.25,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-80,-80,10,-80,0,-80,0
17,2019,10.1021/acs.chemmater.8b05224,292.2,74.9,3.9,CHCL3,61.2,NaN,NaN,100,5,PDMS,200,NaN,NaN,1.23,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au/Cr,2000,50,11.5,Untreated,Spin-Coating,1500,60,NaN,NaN,NaN,NaN,NaN,160,1,Ambient,Ambient,BGBC,Saturation,NaN,1.3,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-80,-80,10,-80,0,-80,0
18,2019,10.1021/acs.chemmater.8b05224,292.2,74.9,3.9,CHCL3,61.2,NaN,NaN,100,5,PDMS,200,NaN,NaN,2.44,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au/Cr,2000,50,11.5,Untreated,Spin-Coating,1500,60,NaN,NaN,NaN,NaN,NaN,160,1,Ambient,Ambient,BGBC,Saturation,NaN,1.25,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-80,-80,10,-80,0,-80,0
19,2019,10.1021/acs.chemmater.8b05224,292.2,74.9,3.9,CHCL3,61.2,NaN,NaN,100,5,PDMS,200,NaN,NaN,16.67,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au/Cr,2000,50,11.5,Untreated,Spin-Coating,1500,60,NaN,NaN,NaN,NaN,NaN,160,1,Ambient,Ambient,BGBC,Saturation,NaN,0.9,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-80,-80,10,-80,0,-80,0
20,2019,10.1021/acs.chemmater.8b05224,292.2,74.9,3.9,CHCL3,61.2,NaN,NaN,100,5,PDMS,200,NaN,NaN,50,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au/Cr,2000,50,11.5,Untreated,Spin-Coating,1500,60,NaN,NaN,NaN,NaN,NaN,160,1,Ambient,Ambient,BGBC,Saturation,NaN,0.6,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-80,-80,10,-80,0,-80,0
21,2012,10.1038/srep00754 ,91,29,3.14,C6H5CL,132,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160,0.5,Inert,Ambient,NaN,Saturation,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,2012,10.1038/srep00754 ,344,71,4.85,C6H5CL,132,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160,0.5,Inert,Ambient,NaN,Saturation,NaN,3.8,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,2012,10.1038/srep00754 ,501,110,4.55,C6H5CL,132,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160,0.5,Inert,Ambient,NaN,Saturation,NaN,8.5,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,2012,10.1038/srep00754 ,501,110,4.55,C6H5CL,132,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,200,NaN,NaN,Au,4000,100,17.25,OTS-8,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160,0.5,Inert,Ambient,BGTC,Saturation,NaN,6.85,1.35,NaN,NaN,2,NaN,5.50E+07,Ambient,0.9,-60,-60,10,-40,10,-60,10
25,2012,10.1038/srep00754 ,501,110,4.55,C6H5CL,132,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,200,NaN,NaN,Au,4000,125,17.25,OTS-8,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160,0.5,Inert,Ambient,BGTC,Saturation,NaN,7.25,1.75,NaN,NaN,2,NaN,5.50E+07,Ambient,0.9,-60,-60,10,-40,10,-60,10
26,2012,10.1038/srep00754 ,501,110,4.55,C6H5CL,132,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,1400,30,11,OTS-18,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160,0.5,Ambient,Ambient,BGBC,Saturation,NaN,5.75,2.25,NaN,NaN,-1,NaN,5.05E+07,Ambient,1.2,-80,-30,5,-20,4,-60,0
